# advanced accuracy
0.9199
# fsvae
1,0.9116,2.73
# wgan
1,0.9166,8.46
10,0.9218,1.14
20,0.9207,0.47
30,0.9206,0.53
40,0.9126,2.01
50,0.9199,2.6
# spectral
1,0.9188,7.94
10,0.9255,1.45
20,0.9159,1.35
30,0.9153,0.28
40,0.9134,0.55
50,0.9172,0.12
# c_wgan
1,0.9153,9.78
10,0.9134,2.4
20,0.9182,1.12
30,0.9170,1.05
40,0.9154,0.71
50,0.9147,0.71
# c_spectral
1,0.9140,10.26
10,0.9147,4.35
20,0.9180,3.06
30,0.9105,1.14
40,0.9181,0.93
50,0.9153,1.21
